"Index";"date";"CC";"CK";"CF";"IDA";"IDP";"ICA";"ICP";"OIA";"OIP";"EO";"ACR"
"1";2015-03-01;"-239.3";"20.5";"-448.3";"7.6";"227.1";"6.8";"0.2";"-57";"178.4";"-183.1";"46.4"
"2";2015-06-01;"-290.8";"268.4";"13.2";"5";"222.7";"13.8";"1";"25.9";"-192.2";"51.4999999999999";"15.9"
"3";2015-09-01;"-323";"39.5";"-470.6";"-0.2";"230.6";"37.1";"0.1";"-77.4";"199.4";"-113";"74.1"
"4";2015-12-01;"-406.5";"46.4";"-600.7";"32.6";"286.6";"-54.5";"1";"-51.5";"239.7";"-170.5";"70.1"
"5";2016-03-01;"-247.3";"35";"-290.8";"2.6";"283.1";"1.1";"1.6";"77.1";"86.9";"-88.2";"-9.7"
"6";2016-06-01;"-276.5";"58.8";"-360.6";"9.2";"345";"-6.7";"-0.1";"-28.7";"-10.5";"-165";"-22.1"
"7";2016-09-01;"-301.6";"45.1";"-301.2";"3.8";"280";"42.6";"-2";"5.6";"75.2";"-15.9999999999994";"28.7"
"8";2016-12-01;"-301.7";"65.7";"-119.2";"49.7";"81";"103.6";"1.6";"75.8";"265.7";"73.6999999999998";"-43.1"
"9";2017-03-01;"-37.9000000000003";"28.1";"-129.7";"15.5";"223.2";"-129.2";"-7.5";"160.4";"-39.3";"-109.5";"10.4"
"10";2017-06-01;"-196.4";"39.8";"-437";"1.3";"326.5";"97.7";"0.4";"-138.4";"70.7";"-169.5";"110.9"
"11";2017-09-01;"-288.5";"46.6";"-344";"3.6";"275";"-4.9";"-1.7";"22.3";"91.7";"-136.6";"-34.5"
"12";2017-12-01;"-464.3";"63.6";"-472";"44.1";"210.7";"38";"12.2";"-71.6";"259.6";"142.7";"214"
"13";2018-03-01;"-41.7000000000005";"14.5";"-220.7";"-4.8";"286.3";"-7.5";"1.5";"155.4";"76";"-63.6999999999993";"129.8"
"14";2018-06-01;"-155";"26.6";"-133.2";"2.6";"267.8";"-29.9";"-0.3";"415.3";"253.7";"-248.5";"-243.7"
"15";2018-09-01;"65.6999999999999";"32.3";"244.3";"11.4";"78.3";"-34.6";"-2.5";"336.1";"-7.19999999999997";"-213.6";"-359.9"
"16";2018-12-01;"-103.1";"46.4";"8.90000000000003";"65.9";"205.2";"7.8";"-2.6";"36.6";"-101.2";"18.1000000000002";"-47.5"
"17";2019-03-01;"127.4";"16.4";"43.3";"10.8";"254.9";"75.7";"0.4";"156.2";"-55.9";"-247.3";"-146.8"
"18";2019-06-01;"196.5";"24.7";"212.5";"3.3";"20.7";"74.2";"-14.5";"39.1";"-102.1";"54.0000000000001";"62.7"
"19";2019-09-01;"245.9";"18.5";"78.6000000000001";"5";"84.8";"197.3";"0";"123.1";"162";"-134.6";"51.2"
"20";2019-12-01;"184.3";"48.2";"-94.1";"40";"142.6";"-19.3";"0";"112.8";"85";"-189";"137.6"
"21";2020-03-01;"205.9";"18.7";"-19.3";"5";"168";"18.6";"0";"89.1";"-36";"-78.4999999999996";"165.4"
"22";2020-06-01;"45.3000000000002";"25";"-136.9";"3";"169.8";"50.6";"0";"-36";"-15.3";"-45.1999999999999";"162"
"23";2020-09-01;"233.8";"32.9";"-214.6";"1.5";"175.4";"52.8";"0";"-68.6";"24.9";"-214.6";"266.7"
"24";2020-12-01;"11.6999999999999";"34";"-136.2";"30";"233.3";"9.2";"0";"166.3";"108.4";"-65.9000000000001";"116"
"25";2021-03-01;"175.2";"7.6";"-434";"1.3";"549.1";"-42.8";"0";"99";"-57.6";"-479.7";"137.1"
"26";2021-06-01;"-166";"24.7";"-279.4";"5.7";"170.7";"-71.6";"0";"50.4";"93.2";"114.6";"252.7"
"27";2021-09-01;"-195.9";"8.8";"-582.5";"2.4";"233.1";"-7";"0";"125.7";"470.5";"45.8000000000001";"441.2"
"28";2021-12-01;"-214";"25.1";"-283.68980369";"4.5";"267.2";"104.1";"0";"58.4";"183.48980369";"-110.78980369";"-16"
"29";2022-03-01;"-132.5";"5.1";"-327.1";"6.2";"480.8";"-35.2";"0.1";"154";"-28.8";"-43.1";"156.6"
"30";2022-06-01;"-17.7000000000002";"6.4";"-446.9";"2.5";"331.6";"-24.3";"-0.1";"-38.2";"55.4";"-301.7";"133.9"
"31";2022-09-01;"6.30000000000018";"7.7";"-256.4";"2.2";"348.2";"67.6";"-11.1";"30.4";"19.5";"-378.6";"-108.2"
"32";2022-12-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
